wavelength,flux
3800.0,2436466.6666666665
3800.05285789797,2423639.30913182
3800.10571579594,2427060.933368212
3800.15857369391,2489715.8997229347
3800.21143159188,2560152.4461771883
3800.26428948985,2475943.863035312
3800.3171473878197,2309627.262105959
3800.37000528579,2330021.7666070326
3800.4228631837595,2328143.097635636
3800.4757210817297,2086731.0512189704
3800.5285789797,1504603.694109994
3800.5814368776696,664491.6812172055
3800.63429477564,281466.0434719403
3800.6871526736095,779689.2723474726
3800.7400105715797,1658304.712928767
3800.7928684695494,2145345.6723932745
3800.8457263675195,1960387.304736646
3800.8985842654897,2177923.2129849326
3800.9514421634594,2725535.520831602
3801.0043000614296,2771991.1565322704
3801.0571579593993,2958248.3511812096
3801.1100158573695,3053414.231139829
3801.162873755339,3067763.3861637115
3801.2157316533094,3081947.471533766
3801.268589551279,3168020.602550243
3801.3214474492493,3210005.840717871
3801.3743053472194,3199013.9816902005
3801.427163245189,3157856.098398155
3801.4800211431593,3173527.002207003
3801.532879041129,3246967.087875526
3801.585736939099,3132993.480151955
3801.638594837069,3002470.5660768365
3801.691452735039,3126769.151116454
3801.7443106330093,3165982.5748093585
3801.797168530979,3112728.4730837946
3801.850026428949,3221479.794424135
3801.902884326919,3291617.2402172936
3801.955742224889,3277527.6841428955
3802.0086001228588,3390119.5864050216
3802.061458020829,3379921.5208247323
3802.1143159187986,3297387.805517834
3802.167173816769,3177905.1576216416
3802.220031714739,3162340.0174845173
3802.2728896127087,3365321.4050016655
3802.325747510679,3363569.958944053
3802.3786054086486,3230932.4043112695
3802.4314633066188,3137464.233666227
3802.4843212045885,2967129.58236286
3802.5371791025586,3063784.58335934
3802.5900370005284,3023498.0564981317
3802.6428948984985,3053494.838677273
3802.6957527964687,2529916.8153854725
3802.7486106944384,1144574.5526468423
3802.8014685924086,1837368.6145752156
3802.8543264903783,2063979.8319169502
3802.9071843883485,1571136.3219210743
3802.960042286318,2516300.4859899497
3803.0129001842884,2057947.936607765
3803.0657580822585,1361631.9287387654
3803.1186159802282,2464902.39753451
3803.1714738781984,3576639.329661512
3803.224331776168,3561760.395486388
3803.2771896741383,3238229.3517785454
3803.330047572108,2010186.94640549
3803.382905470078,1828810.8239296419
3803.435763368048,3251827.1741749826
3803.488621266018,3689161.8525452917
3803.5414791639882,3701185.6580322953
3803.594337061958,3638792.460686251
3803.647194959928,3594330.401470867
3803.700052857898,3622477.0179627053
3803.752910755868,3675297.1559003997
3803.8057686538377,3749905.4568460905
3803.858626551808,3711393.1840221663
3803.911484449778,3681184.929894681
3803.964342347748,3700093.662066951
3804.017200245718,3591226.2676650044
3804.0700581436877,3461842.522056205
3804.122916041658,3391163.828864029
3804.1757739396276,3422515.5405069687
3804.2286318375977,3632707.479520815
3804.2814897355674,2947456.484764887
3804.3343476335376,2471412.2850433737
3804.387205531508,3336257.379939003
3804.4400634294775,3723908.3701352365
3804.4929213274477,3498944.973052626
3804.5457792254174,3122748.2066462776
3804.5986371233876,3354860.954016243
3804.6514950213573,3817937.288650179
3804.7043529193274,3825040.841172002
3804.757210817297,3813676.984622696
3804.8100687152673,3669669.2139192647
3804.8629266132375,3572660.881129745
3804.915784511207,3560517.6109146783
3804.9686424091774,3457890.668418022
3805.021500307147,2334531.1719717626
3805.0743582051173,1519917.6345950947
3805.127216103087,2794213.408749411
3805.180074001057,3604983.323491181
3805.2329318990273,3670270.954871979
3805.285789796997,3818405.235402243
3805.338647694967,3770222.8618792174
3805.391505592937,3729666.9167938423
3805.444363490907,3787250.174001037
3805.497221388877,3819082.7887879726
3805.550079286847,3836469.7062485786
3805.6029371848167,3835137.229658881
3805.655795082787,3835537.9729325036
3805.708652980757,3711827.8040223224
3805.7615108787268,3415530.815012644
3805.814368776697,3008979.9597155545
3805.8672266746667,2260329.3008143324
3805.920084572637,2639542.9181638993
3805.9729424706065,3679874.2033025273
3806.0258003685767,3771966.7274600263
3806.078658266547,3883886.7382708886
3806.1315161645166,3843966.4884787663
3806.1843740624868,3801652.3910208773
3806.2372319604565,3784048.4634255613
3806.2900898584267,3653825.831319356
3806.3429477563964,2583476.5754253874
3806.3958056543665,986388.9364441849
3806.4486635523363,931415.293670639
3806.5015214503064,2364194.4576864946
3806.5543793482766,3288582.7345918305
3806.6072372462463,3442241.403924115
3806.6600951442165,3706714.117342976
3806.712953042186,3816174.571956387
3806.7658109401564,3909089.2041467465
3806.818668838126,3642420.99501576
3806.8715267360963,3413692.6341425846
3806.9243846340664,3614365.4754678034
3806.977242532036,3722016.4885812635
3807.0301004300063,3478278.4323925725
3807.082958327976,3532846.9266064554
3807.135816225946,3820556.140539944
3807.188674123916,3659190.1318128016
3807.241532021886,2576547.1241597515
3807.294389919856,1397613.4247789525
3807.347247817826,2472998.8858096306
3807.400105715796,3734686.9925415125
3807.452963613766,3680665.2362421523
3807.505821511736,3621081.9156539766
3807.5586794097057,3678469.200300136
3807.611537307676,3656190.519119126
3807.6643952056456,2768252.9910185435
3807.717253103616,1231268.0968821608
3807.7701110015855,881755.1837268771
3807.8229688995557,2305117.3694892665
3807.875826797526,3414138.4689927283
3807.9286846954956,3222437.554905527
3807.9815425934657,3190941.2336375876
3808.0344004914355,3377117.10055861
3808.0872583894056,3238064.5166548556
3808.1401162873753,2334962.7318626028
3808.1929741853455,841944.9823445198
3808.2458320833157,838940.912176877
3808.2986899812854,2279065.733820795
3808.3515478792556,3265580.097686999
3808.4044057772253,3040041.7954574665
3808.4572636751955,2680301.4868100593
3808.510121573165,1717070.9570833659
3808.5629794711353,605598.4358898798
3808.615837369105,1713278.5036261368
3808.6686952670752,3355822.921863567
3808.7215531650454,3741514.1060067103
3808.774411063015,3801827.0363627793
3808.8272689609853,3882695.6670952626
3808.880126858955,3942759.520379101
3808.932984756925,3931821.586214128
3808.985842654895,3836597.662408011
3809.038700552865,3703809.94234892
3809.0915584508352,3620394.33755026
3809.144416348805,3248023.7567500025
3809.197274246775,3114885.8286846727
3809.250132144745,3650234.048530687
3809.302990042715,3882174.5992006906
3809.3558479406847,2766444.0065073227
3809.408705838655,2539166.5844274536
3809.4615637366246,3552113.6870041243
3809.514421634595,3550810.4756630016
3809.567279532565,3392991.619866604
3809.6201374305347,3399882.7214381453
3809.672995328505,3746961.9810838765
3809.7258532264746,3723876.266396965
3809.7787111244447,2873715.5939259864
3809.8315690224144,1392256.0334043037
3809.8844269203846,1555545.8886660323
3809.9372848183543,3287737.504303496
3809.9901427163245,3960973.906338866
3810.0430006142947,3750842.3052359708
3810.0958585122644,2529969.2928957865
3810.1487164102346,2443698.465318265
3810.2015743082043,3804933.8611489213
3810.2544322061744,3916903.2656030552
3810.307290104144,3906534.3101181076
3810.3601480021143,4018162.130018213
3810.4130059000845,4064132.1909007314
3810.465863798054,4045600.106604075
3810.5187216960244,3738723.863235536
3810.571579593994,3033903.47350202
3810.6244374919643,1750367.872760003
3810.677295389934,1285156.44425584
3810.730153287904,2720711.7476559225
3810.783011185874,3700408.7890846436
3810.835869083844,3799546.657073383
3810.888726981814,3863045.3819377995
3810.941584879784,3842581.1482854257
